年份,全市场总计,深交所_合计,深交所_主板,深交所_中小板,深交所_创业板,上交所_合计,上交所_主板,上交所_科创板,北交所
1990,6,1,1,0,0,5,5,0,0
1991,9,4,4,0,0,5,5,0,0
1992,43,18,18,0,0,25,25,0,0
1993,142,60,60,0,0,82,82,0,0
1994,231,93,93,0,0,138,138,0,0
1995,249,98,98,0,0,151,151,0,0
1996,408,173,173,0,0,235,235,0,0
1997,582,278,278,0,0,304,304,0,0
1998,675,323,323,0,0,352,352,0,0
1999,756,370,370,0,0,386,386,0,0
2000,871,412,412,0,0,459,459,0,0
2001,944,413,413,0,0,531,531,0,0
2002,1009,414,414,0,0,595,595,0,0
2003,1072,414,414,0,0,658,658,0,0
2004,1166,450,415,35,0,716,716,0,0
2005,1180,462,415,47,0,718,718,0,0
2006,1241,510,415,95,0,731,731,0,0
2007,1363,607,416,191,0,756,756,0,0
2008,1438,676,416,260,0,762,762,0,0
2009,1529,760,416,310,34,769,769,0,0
2010,1850,1054,416,496,142,796,796,0,0
2011,2114,1282,416,606,260,832,832,0,0
2012,2257,1400,416,657,327,857,857,0,0
2013,2259,1401,417,657,327,858,858,0,0
2014,2377,1477,417,687,373,900,900,0,0
2015,2591,1602,419,725,458,989,989,0,0
2016,2817,1725,419,771,535,1092,1092,0,0
2017,3249,1947,420,852,675,1302,1302,0,0
2018,3353,1994,420,871,703,1359,1359,0,0
2019,3555,2071,420,897,754,1484,1414,70,0
2020,3986,2232,420,951,861,1716,1504,212,38
2021,4509,2465,441,964,1060,1966,1592,374,78
2022,4937,2655,481,964,1210,2121,1623,498,161
2023,5250,2788,504,964,1320,2224,1659,565,238
2024,5350,2833,511,964,1358,2256,1676,580,261
2025,5466,2881,526,964,1391,2298,1699,599,287
2026,5487,2883,527,964,1392,2306,1703,603,298
